[[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -59.19449946497278, -0.0, -52.617332857753574, -7.105427357601002e-15, -41.436149625480944, -86.66666666666666, -34.239677744209466, -86.66666666666667, -86.60624370594161, -86.66666666666667, -86.60624370594161, -86.66666666666667, -86.60624370594161, -86.66666666666667, -86.60624370594161, -86.61417322834647, 2.4158453015843406e-13, -86.61417322834647, -65.11394941146997, -81.04778577449264, -83.41712285405728, -65.11394941146997, -81.04778577449264, -86.61417322834646, -86.3623024357523, -85.14901076884541, -86.66666666666671, -86.18832148243911, -83.3153774330245, -59.999999999999886, -59.99999999999991, -64.18984633339818, -81.04778577449264, -86.61417322834646, -65.11394941147003, -81.04778577449264, -80.44243338360985, -41.43614962548089, -41.436149625480894, -86.66666666666666, -55.45181915916935, -86.66666666666687, -80.44243338360985, -69.11568943781792, -86.66666666666688, -72.51940171493585, -72.2854071182029, -86.66666666666688, -72.51940171493585, -72.2854071182029, -86.66666666666684, -72.51940171493585, -50.64418287558776, -86.66666666666694, -63.783801803503664, -86.66666666666659, -67.26588775737409, -65.80142071249267, -62.995307492401054, -62.02797393461841, -86.66666666666694, -66.47908106601996, -62.28980917842574, -62.027973934618416, -63.673604396722816, -63.673604396722816, -59.038229434774394, -54.54728269066414, -54.547282690664204, -73.31624017562382, -86.66666666666637, -58.92923634833007, -50.27652086475619, -86.66666666666657, -58.92923634833005, -61.75263078809732, -62.26297366546151, -59.038229434774394, -54.54728269066424, -86.66666666666646, -55.90722422790291, -59.0382294347744, -53.02067964305722, -59.03822943477439, -68.62400080438387, -45.17520057495703, -53.8157297542632, -61.590712120612224, -68.62400080438387, -56.02240896358541, -62.95922179634421, -65.11317289574738, -86.66666666666671, -71.52516904583017, -86.66666666666677, -68.32456289254793, -71.52516904582994, -69.05040932812854, -61.65962848778443, -69.05040932812854, -61.65962848778449, -66.1365528300826, -67.2357640832527, -86.6666666666677, -77.69935898028838, -46.84118786662168, -62.91794560040577, -61.75765715941111, -68.01611213231959, -68.01611213231959, 351.8518518516739, 3.979039320256561e-13, -66.5824788085069, -66.97249787690261, 351.8518518517044, 3.410605131648481e-13, -66.58247880850693, 351.8518518517039, -25.51705613752182, -52.49845592776668, -65.15860241189452, -62.82051282051312, -65.15860241189452, -72.37283941889633, 1.3784529073745944e-12, -50.768029159073066, -65.41350681091177, -66.58247880850688, -54.185734125629025, -54.18573412562893, -54.18573412562876, -54.185734125628805, -86.66666666666615, -55.17408636866615, -57.49547196832507, -54.18573412562877, -54.18573412562878, -86.666666666666, -55.17408636866618, -57.495471968325134, -65.73079284827446, 2.2495783014164772e-11, -61.33955721748901, -65.7307928482744, -62.949640287769924, -61.659628487784765, -62.46924776413166, -65.7307928482745, -39.73620502546245, -62.65448747206642, -64.40621729920112, -86.66666666665144, -62.92879110480233, -64.57507705856436], [0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 6, 0, 5, 7, 5, 6, 5, 6, 5, 6, 5, 6, 5, 6, 9, 7, 9, 4, 6, 9, 4, 7, 8, 5, 6, 5, 5, 5, 5, 4, 4, 7, 9, 4, 3, 2, 1, 4, 2, 6, 4, 2, 8, 3, 2, 8, 3, 2, 9, 2, 9, 9, 8, 12, 9, 8, 3, 3, 9, 8, 6, 3, 3, 2, 5, 6, 6, 4, 4, 6, 1, 6, 2, 2, 2, 5, 6, 4, 4, 4, 7, 1, 7, 7, 0, 1, 6, 8, 1, 1, 7, 5, 7, 4, 4, 3, 7, 3, 7, 2, 2, 7, 5, 7, 4, 4, 2, 2, 27, 4, 2, 4, 27, 4, 2, 27, 3, 8, 2, 1, 1, 6, 11, 2, 1, 1, 5, 1, 2, 1, 4, 2, 2, 3, 1, 3, 1, 1, 2, 16, 1, 4, 1, 0, 0, 3, 16, 0, 1, 7, 0, 0], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 4, 0, 3, 0, 2, 0, 1, 0, 1, 0, 3, 0, 5, 3, 2, 4, 2, 1, 3, 9, 0, 3, 3, 2, 2, 2, 1, 1, 3, 0, 0, 1, 1, 1, 2, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 7, 1, 4, 1, 2, 2, 2, 3, 1, 2, 2, 2, 1, 1, 4, 5, 4, 5, 0, 4, 3, 0, 4, 3, 3, 3, 5, 0, 4, 3, 3, 3, 2, 10, 2, 2, 2, 1, 2, 1, 0, 5, 0, 1, 5, 0, 7, 0, 6, 4, 2, 0, 3, 5, 4, 2, 1, 0, 5, 3, 1, 0, 6, 3, 0, 5, 13, 7, 1, 3, 1, 1, 12, 4, 1, 0, 1, 1, 1, 1, 0, 3, 2, 3, 3, 0, 3, 2, 0, 6, 2, 0, 1, 4, 3, 0, 6, 2, 1, 0, 1, 0], 0.03681970000000001]
         520735 function calls (512189 primitive calls) in 0.565 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
      648    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(amin)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(any)
      487    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
      156    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(dot)
      324    0.000    0.000    0.011    0.000 <__array_function__ internals>:2(intersect1d)
       30    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(linspace)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(ndim)
       78    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(norm)
      162    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(outer)
       30    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(result_type)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(squeeze)
      162    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(union1d)
      810    0.000    0.000    0.009    0.000 <__array_function__ internals>:2(unique)
     1136    0.001    0.000    0.002    0.000 <__array_function__ internals>:2(where)
    343/3    0.003    0.000    0.522    0.174 <frozen importlib._bootstrap>:1002(_find_and_load)
       10    0.000    0.000    0.036    0.004 <frozen importlib._bootstrap>:1018(_gcd_import)
   355/88    0.001    0.000    0.386    0.004 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      673    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      343    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:156(__enter__)
      343    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:160(__exit__)
      673    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      432    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:185(cb)
      330    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
    463/4    0.000    0.000    0.519    0.130 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     3121    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
      268    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      567    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:385(cached)
      650    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:398(parent)
      317    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      317    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
  317/313    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      432    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:622(_load_backward_compatible)
    318/4    0.001    0.000    0.520    0.130 <frozen importlib._bootstrap>:659(_load_unlocked)
      336    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:757(create_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
      318    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
      673    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:87(acquire)
      984    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      984    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:878(__exit__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:892(_find_spec_legacy)
      336    0.002    0.000    0.085    0.000 <frozen importlib._bootstrap>:901(_find_spec)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
    339/3    0.001    0.000    0.522    0.174 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      268    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1095(__init__)
    31/30    0.000    0.000    0.038    0.001 <frozen importlib._bootstrap_external>:1106(create_module)
    31/26    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap_external>:1114(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(_find_parent_path_names)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(_get_parent_path)
